File,EmfPlusRecordTypeDrawDriverString,EmfPlusRecordTypeDrawImagePoints,EmfPlusRecordTypeDrawLines,EmfPlusRecordTypeDrawPath,EmfPlusRecordTypeEndOfFile,EmfPlusRecordTypeFillPath,EmfPlusRecordTypeFillRects,EmfPlusRecordTypeGetDC,EmfPlusRecordTypeHeader,EmfPlusRecordTypeMultiplyWorldTransform,EmfPlusRecordTypeObject,EmfPlusRecordTypeResetWorldTransform,EmfPlusRecordTypeRestore,EmfPlusRecordTypeSave,EmfPlusRecordTypeSetAntiAliasMode,EmfPlusRecordTypeSetClipPath,EmfPlusRecordTypeSetClipRect,EmfPlusRecordTypeSetClipRegion,EmfPlusRecordTypeSetCompositingQuality,EmfPlusRecordTypeSetInterpolationMode,EmfPlusRecordTypeSetPageTransform,EmfPlusRecordTypeSetPixelOffsetMode,EmfPlusRecordTypeSetRenderingOrigin,EmfPlusRecordTypeSetTextRenderingHint,EmfPlusRecordTypeSetWorldTransform,EmfRecordTypeBeginPath,EmfRecordTypeBitBlt,EmfRecordTypeCloseFigure,EmfRecordTypeCreateBrushIndirect,EmfRecordTypeDeleteObject,EmfRecordTypeEndPath,EmfRecordTypeEOF,EmfRecordTypeExtCreatePen,EmfRecordTypeExtSelectClipRgn,EmfRecordTypeFillPath,EmfRecordTypeHeader,EmfRecordTypeMoveToEx,EmfRecordTypePolyBezierTo16,EmfRecordTypePolyLineTo,EmfRecordTypePolyPolygon16,EmfRecordTypePolyPolyline16,EmfRecordTypeRestoreDC,EmfRecordTypeSaveDC,EmfRecordTypeSelectClipPath,EmfRecordTypeSelectObject,EmfRecordTypeSetBkMode,EmfRecordTypeSetMapMode,EmfRecordTypeSetMiterLimit,EmfRecordTypeSetPolyFillMode,EmfRecordTypeSetViewportExtEx,EmfRecordTypeSetViewportOrgEx,EmfRecordTypeSetWindowExtEx,EmfRecordTypeSetWindowOrgEx,EmfRecordTypeStretchDIBits,EmfRecordTypeStrokeAndFillPath,EmfRecordTypeStrokePath,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements (2) 2021\visio\media\image4.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,7,2,1,3,0,2,1,2,2,0,2,1,0,0,0,7,1,1,0,4,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements (2) 2021\visio\media\image5.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,1,1,1,0,1,1,3,3,0,0,0,0,0,0,2,1,1,0,1,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements (2) 2021\visio\media\image6.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,5,4,1,1,0,4,1,4,4,0,2,0,0,0,0,5,1,1,0,6,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements (2) 2021\visio\media\image7.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,4,2,1,1,0,2,1,2,2,0,2,0,0,0,0,4,1,1,0,4,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements (2) 2021\visio\media\image8.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,4,2,1,1,0,2,1,4,4,0,2,0,0,0,0,4,1,1,0,4,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements (2) 2021\visio\media\image9.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,1,0,1,1,1,1,0,5,0,0,0,0,5,1,1,0,6,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image1.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,1,1,0,0,1,2,2,0,0,0,0,0,0,2,1,1,2,2,1,1,1,1,0,2,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image10.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,18,3,1,7,0,3,1,4,4,0,11,3,0,0,0,18,1,1,0,14,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image11.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,10,1,1,5,0,1,1,2,2,0,2,2,0,0,0,10,1,1,0,3,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image12.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,1,1,3,0,1,1,2,2,0,1,1,0,0,0,6,1,1,0,2,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image13.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,12,2,1,5,0,2,1,3,3,0,6,2,0,0,0,12,1,1,0,8,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image14.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,11,2,1,5,0,2,1,3,3,0,2,2,0,0,0,11,1,1,0,4,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image2.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,2,4,1,1,0,0,1,4,4,0,0,0,0,0,0,2,1,1,4,4,1,1,1,1,0,4,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image3.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,3,1,1,0,3,1,4,4,0,0,0,0,0,0,4,1,1,0,3,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image4.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,95,59,114,88,1,55,0,50,1,112,112,0,17,19,0,0,0,114,1,1,0,53,1,1,1,1,0,0,38,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image5.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,3,2,1,1,0,2,1,3,3,0,0,0,0,0,0,3,1,1,0,2,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image6.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,42,43,44,21,1,1,0,21,1,42,42,0,22,0,0,0,0,44,1,1,0,43,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image7.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,11,14,2,1,3,0,1,1,3,3,0,11,0,1,1,1,14,1,1,0,13,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image8.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,14,5,1,2,0,4,1,6,6,0,13,0,1,1,1,14,1,1,0,18,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\DataCore SDS Additional Elements 2021\visio\media\image9.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,14,5,1,2,0,4,1,6,6,0,11,0,1,1,1,14,1,1,0,16,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image1.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,3,4,14,1,1,0,14,1,14,14,0,0,0,0,0,0,4,1,1,0,14,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image10.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,5,1,1,1,0,1,1,2,2,0,3,0,0,0,0,5,1,1,0,4,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image11.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,1,1,0,3,1,3,3,0,0,0,0,0,0,4,1,1,0,3,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image2.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6,7,3,1,1,0,3,1,7,7,0,5,0,0,0,0,7,1,1,0,8,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image3.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,6,3,1,1,0,3,1,3,3,0,2,0,0,0,0,6,1,1,0,5,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image4.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,3,4,8,1,1,0,8,1,8,8,0,0,0,0,0,0,4,1,1,0,8,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image5.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,1,1,0,3,1,3,3,0,0,0,0,0,0,4,1,1,0,3,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image6.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,3,1,1,0,3,1,4,4,0,1,0,0,0,0,4,1,1,0,4,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image7.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,2,1,1,0,2,1,2,2,0,0,0,0,0,0,3,1,1,0,2,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image8.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,4,5,1,1,0,5,1,5,5,0,0,0,0,0,0,4,1,1,0,5,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\General Media & Entertainment 2021\visio\media\image9.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,1,1,0,3,1,3,3,0,0,0,0,0,0,4,1,1,0,3,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\Generic Icons 2021\visio\media\image1.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,1,1,0,3,1,3,3,0,0,0,0,0,0,4,1,1,0,3,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\Generic Icons 2021\visio\media\image2.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,4,5,10,1,1,0,10,1,15,15,0,0,0,0,0,0,5,1,1,0,10,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\Generic Icons 2021\visio\media\image3.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,4,3,1,1,0,3,1,6,6,0,0,0,0,0,0,4,1,1,0,3,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\Generic Icons 2021\visio\media\image4.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,23,11,16,18,1,5,0,16,1,23,23,0,2,0,0,0,0,16,1,1,2,20,1,1,1,1,0,2,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\Generic Icons 2021\visio\media\image5.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,3,4,9,1,1,0,9,1,9,9,0,0,0,0,0,0,4,1,1,0,9,1,1,1,1,0,0,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\Generic Icons 2021\visio\media\image6.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,6,12,9,1,6,0,5,1,12,12,0,0,0,0,0,0,12,1,1,4,9,1,1,1,1,0,4,0,
C:\dev\EMF\library\DataCore\DataCore_Software-Defined_Storage\All_Iconography\Generic Icons 2021\visio\media\image7.emf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,28,15,19,18,1,4,0,6,1,28,28,0,0,2,0,0,0,19,1,1,14,18,1,1,1,1,0,12,0,
